,vis_type,task,mark,resp
132,scatter,range,Mark,0
133,scatter,trend,Shade,1
134,scatter,trend,Shade,1
135,scatter,compare,Text,1
136,scatter,compare,Text,1
137,bar,retrieve,Opacity,1
138,bar,retrieve,Opacity,0
139,bar,filter,Opacity,1
140,bar,filter,Opacity,1
141,bar,range,Opacity,1
142,bar,range,Opacity,0
143,bar,trend,Color,1
144,bar,trend,Color,1
145,bar,compare,Text,1
146,bar,compare,Text,1
147,line,retrieve,Color,0
148,line,retrieve,Color,1
149,line,filter,Shade,0
150,line,filter,Shade,0
151,line,range,Opacity,1
152,line,range,Opacity,1
153,line,trend,Opacity,1
154,line,trend,Opacity,1
155,line,compare,Mark,1
156,line,compare,Mark,0
157,scatter,retrieve,Line,1
158,scatter,retrieve,Line,0
159,scatter,filter,Bound,0
160,scatter,filter,Bound,1
161,scatter,range,Opacity,1
162,scatter,range,Opacity,0
163,scatter,trend,Line,1
164,scatter,trend,Line,1
165,scatter,compare,Color,1
166,scatter,compare,Color,1
167,bar,retrieve,Opacity,0
168,bar,retrieve,Opacity,0
169,bar,filter,Bound,0
170,bar,filter,Bound,1
171,bar,retrieve,Color,0
172,bar,retrieve,Color,0
173,bar,filter,Opacity,1
174,bar,filter,Opacity,1
175,bar,range,Color,1
176,bar,range,Color,1
177,bar,trend,Shade,0
178,bar,trend,Shade,1
179,bar,compare,Text,0
180,bar,compare,Text,1
181,line,retrieve,Opacity,1
182,line,retrieve,Opacity,1
183,line,filter,Shade,1
184,line,filter,Shade,0
185,line,range,Text,0
186,line,range,Text,0
187,line,trend,Color,0
188,line,trend,Color,0
189,line,compare,Mark,0
190,line,compare,Mark,1
191,scatter,retrieve,Color,1
192,scatter,retrieve,Color,0
193,scatter,filter,Shade,0
194,scatter,filter,Shade,0
195,scatter,range,Mark,0
196,scatter,range,Mark,0
197,scatter,trend,Line,0
198,scatter,trend,Line,1
199,scatter,compare,Text,0
200,scatter,compare,Text,1
201,bar,retrieve,Bound,1
202,bar,retrieve,Bound,1
203,bar,filter,Line,1
204,bar,filter,Line,1
205,bar,range,Color,1
206,bar,range,Color,1
207,bar,trend,Bound,0
208,bar,trend,Bound,0
209,bar,compare,Color,1
210,bar,compare,Color,1
211,bar,retrieve,Line,1
212,bar,retrieve,Line,0
213,bar,filter,Line,1
214,bar,filter,Line,1
215,bar,range,Text,1
216,bar,range,Text,1
217,bar,trend,Mark,1
218,bar,trend,Mark,1
219,bar,compare,Text,1
220,bar,compare,Text,1
221,line,retrieve,Shade,0
222,line,retrieve,Shade,0
223,line,filter,Line,1
224,line,filter,Line,1
225,line,range,Mark,1
226,line,range,Mark,0
227,line,trend,Shade,1
228,line,trend,Shade,1
229,line,compare,Mark,1
230,line,compare,Mark,1
231,scatter,retrieve,Shade,1
232,scatter,retrieve,Shade,1
233,scatter,filter,Bound,0
234,scatter,filter,Bound,1
235,scatter,range,Text,1
236,scatter,range,Text,0
237,scatter,trend,Color,1
238,scatter,trend,Color,1
239,scatter,compare,Mark,0
240,scatter,compare,Mark,1
241,bar,retrieve,Shade,0
242,bar,retrieve,Shade,1
243,bar,filter,Opacity,0
244,bar,filter,Opacity,1
245,bar,range,Line,0
246,bar,range,Line,1
247,bar,trend,Text,1
248,bar,trend,Text,1
249,bar,compare,Color,1
250,bar,compare,Color,1
251,line,retrieve,Shade,1
252,line,retrieve,Shade,1
253,line,filter,Shade,0
254,line,filter,Shade,0
255,line,range,Line,1
256,line,range,Line,0
257,line,trend,Line,1
258,line,trend,Line,1
259,line,compare,Text,1
260,line,compare,Text,0
261,scatter,retrieve,Color,0
262,scatter,retrieve,Color,1
263,scatter,filter,Bound,1
264,scatter,filter,Bound,0
265,scatter,range,Text,1
266,scatter,range,Text,1
267,scatter,trend,Opacity,1
268,scatter,trend,Opacity,1
269,scatter,compare,Color,1
270,scatter,compare,Color,1
271,bar,retrieve,Color,1
272,bar,retrieve,Color,1
273,bar,filter,Shade,1
274,bar,filter,Shade,0
275,bar,range,Color,1
276,bar,range,Color,1
277,bar,trend,Line,1
278,bar,trend,Line,1
279,bar,compare,Text,1
280,bar,compare,Text,1
281,line,retrieve,Bound,1
282,line,retrieve,Bound,0
283,line,filter,Opacity,1
284,line,filter,Opacity,0
285,line,range,Color,1
286,line,range,Color,1
287,line,trend,Opacity,1
288,line,trend,Opacity,1
289,line,compare,Opacity,0
290,line,compare,Opacity,0
291,scatter,retrieve,Opacity,1
292,scatter,retrieve,Opacity,1
293,scatter,filter,Bound,1
294,scatter,filter,Bound,1
295,scatter,range,Text,1
296,scatter,range,Text,1
297,scatter,trend,Bound,1
298,scatter,trend,Bound,1
299,scatter,compare,Color,1
300,scatter,compare,Color,1
301,bar,retrieve,Opacity,1
302,bar,retrieve,Opacity,1
303,bar,filter,Color,1
304,bar,filter,Color,1
305,bar,range,Mark,1
306,bar,range,Mark,0
307,bar,trend,Shade,1
308,bar,trend,Shade,0
309,bar,compare,Color,1
310,bar,compare,Color,1
311,line,retrieve,Opacity,1
312,line,retrieve,Opacity,1
313,line,filter,Opacity,0
314,line,filter,Opacity,0
315,line,range,Opacity,1
316,line,range,Opacity,1
317,line,trend,Opacity,1
318,line,trend,Opacity,1
319,line,compare,Text,1
320,line,compare,Text,0
321,scatter,retrieve,Color,0
322,scatter,retrieve,Color,1
323,scatter,filter,Shade,1
324,scatter,filter,Shade,0
325,scatter,range,Text,1
326,scatter,range,Text,1
327,scatter,trend,Text,1
328,scatter,trend,Text,1
329,scatter,compare,Color,1
330,scatter,compare,Color,1
331,bar,retrieve,Line,1
332,bar,retrieve,Line,1
333,bar,filter,Line,1
334,bar,filter,Line,0
335,bar,range,Opacity,1
336,bar,range,Opacity,1
337,bar,trend,Bound,0
338,bar,trend,Bound,1
339,bar,compare,Color,0
340,bar,compare,Color,1
341,line,retrieve,Shade,1
342,line,retrieve,Shade,1
343,line,filter,Shade,1
344,line,filter,Shade,1
345,line,range,Opacity,0
346,line,range,Opacity,1
347,line,trend,Line,1
348,line,trend,Line,0
349,line,compare,Text,1
350,line,compare,Text,1
351,scatter,retrieve,Line,0
352,scatter,retrieve,Line,1
353,scatter,filter,Line,1
354,scatter,filter,Line,0
355,scatter,range,Opacity,1
356,scatter,range,Opacity,0
357,scatter,trend,Opacity,0
358,scatter,trend,Opacity,1
359,scatter,compare,Opacity,1
360,scatter,compare,Opacity,1
361,bar,retrieve,Shade,0
362,bar,retrieve,Shade,0
363,bar,filter,Color,0
364,bar,filter,Color,1
365,bar,range,Mark,1
366,bar,range,Mark,1
367,bar,trend,Mark,0
368,bar,trend,Mark,1
369,bar,compare,Mark,1
370,bar,compare,Mark,1
371,line,retrieve,Line,0
372,line,retrieve,Line,1
373,line,filter,Shade,0
374,line,filter,Shade,1
375,line,range,Line,1
376,line,range,Line,0
377,line,trend,Text,0
378,line,trend,Text,0
379,line,compare,Opacity,0
380,line,compare,Opacity,0
381,scatter,retrieve,Shade,1
382,scatter,retrieve,Shade,1
383,scatter,filter,Shade,1
384,scatter,filter,Shade,1
385,scatter,range,Text,0
386,scatter,range,Text,1
387,scatter,trend,Color,1
388,scatter,trend,Color,0
389,scatter,compare,Color,0
390,scatter,compare,Color,0
391,bar,retrieve,Opacity,1
392,bar,retrieve,Opacity,0
393,bar,filter,Opacity,1
394,bar,filter,Opacity,0
395,bar,range,Text,1
396,bar,range,Text,1
397,bar,trend,Opacity,1
398,bar,trend,Opacity,0
399,bar,compare,Mark,0
400,bar,compare,Mark,0
401,line,retrieve,Shade,0
402,line,retrieve,Shade,1
403,line,filter,Bound,0
404,line,filter,Bound,0
405,line,range,Line,1
406,line,range,Line,1
407,line,trend,Mark,0
408,line,trend,Mark,1
409,line,compare,Opacity,0
410,line,compare,Opacity,1
411,scatter,retrieve,Opacity,0
412,scatter,retrieve,Opacity,1
413,scatter,filter,Color,0
414,scatter,filter,Color,1
415,scatter,range,Line,0
416,scatter,range,Line,0
417,scatter,trend,Line,1
418,scatter,trend,Line,1
419,scatter,compare,Opacity,0
420,scatter,compare,Opacity,1
421,bar,retrieve,Color,0
422,bar,retrieve,Color,1
423,bar,filter,Color,0
424,bar,filter,Color,0
425,bar,range,Opacity,1
426,bar,range,Opacity,1
427,bar,trend,Bound,0
428,bar,trend,Bound,1
429,bar,compare,Mark,0
430,bar,compare,Mark,0
431,line,retrieve,Color,1
432,line,retrieve,Color,0
433,line,filter,Shade,0
434,line,filter,Shade,0
435,line,range,Opacity,1
436,line,range,Opacity,1
437,line,trend,Bound,1
438,line,trend,Bound,1
439,line,compare,Mark,1
440,line,compare,Mark,1
441,scatter,retrieve,Shade,1
442,scatter,retrieve,Shade,0
443,scatter,filter,Bound,0
444,scatter,filter,Bound,1
445,scatter,range,Text,1
446,scatter,range,Text,0
447,scatter,trend,Mark,1
448,scatter,trend,Mark,1
449,scatter,compare,Text,1
450,scatter,compare,Text,1
451,bar,retrieve,Opacity,1
452,bar,retrieve,Opacity,0
453,bar,filter,Color,1
454,bar,filter,Color,1
455,bar,range,Color,1
456,bar,range,Color,0
457,bar,trend,Bound,1
458,bar,trend,Bound,1
459,bar,compare,Text,1
460,bar,compare,Text,1
461,line,retrieve,Line,1
462,line,retrieve,Line,1
463,line,filter,Line,0
464,line,filter,Line,1
465,line,range,Color,1
466,line,range,Color,0
467,line,trend,Line,1
468,line,trend,Line,1
469,line,compare,Mark,1
470,line,compare,Mark,1
471,scatter,retrieve,Color,1
472,scatter,retrieve,Color,0
473,scatter,filter,Color,1
474,scatter,filter,Color,0
475,scatter,range,Opacity,0
476,scatter,range,Opacity,0
477,scatter,trend,Color,1
478,scatter,trend,Color,1
479,scatter,compare,Color,1
480,scatter,compare,Color,1
481,bar,retrieve,Shade,1
482,bar,retrieve,Shade,1
483,bar,filter,Bound,0
484,bar,filter,Bound,0
485,bar,range,Mark,0
486,bar,range,Mark,1
487,bar,trend,Opacity,1
488,bar,trend,Opacity,1
489,bar,compare,Mark,0
490,bar,compare,Mark,0
491,line,retrieve,Bound,1
492,line,retrieve,Bound,1
493,line,filter,Shade,1
494,line,filter,Shade,1
495,line,range,Opacity,0
496,line,range,Opacity,1
497,line,trend,Line,1
498,line,trend,Line,0
499,line,compare,Opacity,0
500,line,compare,Opacity,1
501,scatter,retrieve,Color,0
502,scatter,retrieve,Color,0
503,scatter,filter,Shade,0
504,scatter,filter,Shade,1
505,scatter,range,Line,1
506,scatter,range,Line,1
507,scatter,trend,Bound,1
508,scatter,trend,Bound,0
509,scatter,compare,Text,0
510,scatter,compare,Text,1
511,bar,retrieve,Color,1
512,bar,retrieve,Color,0
513,bar,filter,Opacity,1
514,bar,filter,Opacity,0
515,bar,range,Text,1
516,bar,range,Text,1
517,bar,trend,Line,1
518,bar,trend,Line,1
519,bar,compare,Opacity,1
520,bar,compare,Opacity,1
521,line,retrieve,Shade,1
522,line,retrieve,Shade,0
523,line,filter,Color,0
524,line,filter,Color,0
525,line,range,Text,1
526,line,range,Text,1
527,line,trend,Shade,1
528,line,trend,Shade,0
529,line,compare,Opacity,0
530,line,compare,Opacity,1
531,scatter,retrieve,Line,1
532,scatter,retrieve,Line,1
533,scatter,filter,Opacity,1
534,scatter,filter,Opacity,1
535,scatter,range,Color,1
536,scatter,range,Color,0
537,scatter,trend,Opacity,0
538,scatter,trend,Opacity,1
539,scatter,compare,Opacity,1
540,scatter,compare,Opacity,1
541,bar,retrieve,Shade,0
542,bar,retrieve,Shade,0
543,bar,filter,Bound,1
544,bar,filter,Bound,1
545,bar,range,Color,1
546,bar,range,Color,1
547,bar,trend,Mark,1
548,bar,trend,Mark,1
549,bar,compare,Opacity,1
550,bar,compare,Opacity,1
551,line,retrieve,Opacity,1
552,line,retrieve,Opacity,0
553,line,filter,Shade,0
554,line,filter,Shade,1
555,line,range,Line,1
556,line,range,Line,1
557,line,trend,Mark,1
558,line,trend,Mark,0
559,line,compare,Mark,1
560,line,compare,Mark,0
561,scatter,retrieve,Line,1
562,scatter,retrieve,Line,1
563,scatter,filter,Opacity,1
564,scatter,filter,Opacity,1
565,scatter,range,Opacity,1
566,scatter,range,Opacity,1
567,scatter,trend,Text,0
568,scatter,trend,Text,1
569,scatter,compare,Mark,0
570,scatter,compare,Mark,1
571,bar,retrieve,Line,1
572,bar,retrieve,Line,1
573,bar,filter,Bound,1
574,bar,filter,Bound,1
575,bar,range,Opacity,1
576,bar,range,Opacity,1
577,bar,trend,Opacity,1
578,bar,trend,Opacity,1
579,bar,compare,Color,1
580,bar,compare,Color,1
581,line,retrieve,Line,0
582,line,retrieve,Line,1
583,line,filter,Bound,0
584,line,filter,Bound,1
585,line,range,Mark,1
586,line,range,Mark,1
587,line,trend,Text,1
588,line,trend,Text,1
589,line,compare,Text,1
590,line,compare,Text,0
591,scatter,retrieve,Shade,1
592,scatter,retrieve,Shade,1
593,scatter,filter,Color,1
594,scatter,filter,Color,1
595,scatter,range,Line,0
596,scatter,range,Line,0
597,scatter,trend,Opacity,1
598,scatter,trend,Opacity,1
599,scatter,compare,Color,0
600,scatter,compare,Color,1
601,bar,retrieve,Opacity,1
602,bar,retrieve,Opacity,1
603,bar,filter,Color,1
604,bar,filter,Color,0
605,bar,range,Text,1
606,bar,range,Text,1
607,bar,trend,Color,1
608,bar,trend,Color,1
609,bar,compare,Color,1
610,bar,compare,Color,1
611,line,retrieve,Opacity,1
612,line,retrieve,Opacity,1
613,line,filter,Bound,1
614,line,filter,Bound,0
615,line,range,Text,1
616,line,range,Text,1
617,line,trend,Mark,1
618,line,trend,Mark,1
619,line,compare,Color,1
620,line,compare,Color,0
621,scatter,retrieve,Shade,1
622,scatter,retrieve,Shade,1
623,scatter,filter,Opacity,0
624,scatter,filter,Opacity,0
625,scatter,range,Mark,1
626,scatter,range,Mark,1
627,scatter,trend,Text,1
628,scatter,trend,Text,1
629,scatter,compare,Text,1
630,scatter,compare,Text,1
631,bar,retrieve,Opacity,1
632,bar,retrieve,Opacity,0
633,bar,filter,Shade,0
634,bar,filter,Shade,1
635,bar,range,Mark,1
636,bar,range,Mark,0
637,bar,trend,Text,1
638,bar,trend,Text,1
639,bar,compare,Opacity,1
640,bar,compare,Opacity,1
641,line,retrieve,Shade,0
642,line,retrieve,Shade,0
643,line,filter,Line,0
644,line,filter,Line,1
645,line,range,Color,0
646,line,range,Color,1
647,line,trend,Color,1
648,line,trend,Color,1
649,line,compare,Opacity,1
650,line,compare,Opacity,1
651,scatter,retrieve,Shade,1
652,scatter,retrieve,Shade,0
653,scatter,filter,Color,1
654,scatter,filter,Color,1
655,scatter,range,Text,1
656,scatter,range,Text,0
657,scatter,trend,Line,1
658,scatter,trend,Line,0
659,scatter,compare,Mark,1
660,scatter,compare,Mark,1
661,bar,retrieve,Shade,1
662,bar,retrieve,Shade,1
663,bar,filter,Opacity,1
664,bar,filter,Opacity,1
665,bar,range,Line,0
666,bar,range,Line,1
667,bar,trend,Text,1
668,bar,trend,Text,1
669,bar,compare,Color,1
670,bar,compare,Color,1
671,line,retrieve,Opacity,0
672,line,retrieve,Opacity,1
673,line,filter,Shade,1
674,line,filter,Shade,1
675,line,range,Opacity,1
676,line,range,Opacity,1
677,line,trend,Opacity,1
678,line,trend,Opacity,1
679,line,compare,Text,1
680,line,compare,Text,0
681,scatter,retrieve,Bound,1
682,scatter,retrieve,Bound,1
683,scatter,filter,Opacity,1
684,scatter,filter,Opacity,1
685,scatter,range,Line,1
686,scatter,range,Line,0
687,scatter,trend,Text,1
688,scatter,trend,Text,0
689,scatter,compare,Text,0
690,scatter,compare,Text,1
691,bar,retrieve,Bound,1
692,bar,retrieve,Bound,0
693,bar,filter,Bound,1
694,bar,filter,Bound,1
695,bar,range,Mark,1
696,bar,range,Mark,0
697,bar,trend,Line,1
698,bar,trend,Line,0
699,bar,compare,Opacity,1
700,bar,compare,Opacity,0
701,line,retrieve,Line,0
702,line,retrieve,Line,0
703,line,filter,Opacity,1
704,line,filter,Opacity,0
705,line,range,Mark,1
706,line,range,Mark,1
707,line,trend,Text,1
708,line,trend,Text,0
709,line,compare,Mark,0
710,line,compare,Mark,1
711,scatter,retrieve,Bound,1
712,scatter,retrieve,Bound,1
713,scatter,filter,Line,1
714,scatter,filter,Line,1
715,scatter,range,Color,1
716,scatter,range,Color,1
717,scatter,trend,Text,1
718,scatter,trend,Text,1
719,scatter,compare,Mark,1
720,scatter,compare,Mark,1
721,bar,retrieve,Bound,1
722,bar,retrieve,Bound,1
723,bar,filter,Shade,1
724,bar,filter,Shade,0
725,bar,range,Color,0
726,bar,range,Color,1
727,bar,trend,Text,1
728,bar,trend,Text,0
729,bar,compare,Opacity,1
730,bar,compare,Opacity,1
731,line,retrieve,Bound,0
732,line,retrieve,Bound,0
733,line,filter,Shade,0
734,line,filter,Shade,0
735,line,range,Mark,0
736,line,range,Mark,1
737,line,trend,Line,0
738,line,trend,Line,1
739,line,compare,Text,1
740,line,compare,Text,1
741,scatter,retrieve,Shade,0
742,scatter,retrieve,Shade,0
743,scatter,filter,Line,1
744,scatter,filter,Line,1
745,scatter,range,Line,1
746,scatter,range,Line,1
747,scatter,trend,Line,1
748,scatter,trend,Line,1
749,scatter,compare,Mark,1
750,scatter,compare,Mark,1
751,bar,retrieve,Opacity,0
752,bar,retrieve,Opacity,1
753,bar,filter,Bound,0
754,bar,filter,Bound,0
755,bar,range,Line,0
756,bar,range,Line,1
757,bar,trend,Opacity,0
758,bar,trend,Opacity,1
759,bar,compare,Mark,1
760,bar,compare,Mark,0
761,line,retrieve,Bound,1
762,line,retrieve,Bound,0
763,line,filter,Shade,0
764,line,filter,Shade,0
765,line,range,Mark,1
766,line,range,Mark,1
767,line,trend,Color,0
768,line,trend,Color,0
769,line,compare,Text,1
770,line,compare,Text,1
771,scatter,retrieve,Shade,0
772,scatter,retrieve,Shade,1
773,scatter,filter,Shade,0
774,scatter,filter,Shade,0
775,scatter,range,Color,1
776,scatter,range,Color,0
777,scatter,trend,Color,0
778,scatter,trend,Color,0
779,scatter,compare,Opacity,1
780,scatter,compare,Opacity,0
781,bar,retrieve,Opacity,0
782,bar,retrieve,Opacity,1
783,bar,filter,Opacity,0
784,bar,filter,Opacity,0
785,bar,range,Line,0
786,bar,range,Line,1
787,bar,trend,Bound,0
788,bar,trend,Bound,1
789,bar,compare,Mark,1
790,bar,compare,Mark,1
791,line,retrieve,Opacity,0
792,line,retrieve,Opacity,1
793,line,filter,Shade,1
794,line,filter,Shade,1
795,line,range,Opacity,0
796,line,range,Opacity,0
797,line,trend,Bound,1
798,line,trend,Bound,1
799,line,compare,Text,1
800,line,compare,Text,0
801,scatter,retrieve,Color,0
802,scatter,retrieve,Color,0
803,scatter,filter,Color,1
804,scatter,filter,Color,0
805,scatter,range,Color,1
806,scatter,range,Color,0
807,scatter,trend,Color,1
808,scatter,trend,Color,0
809,scatter,compare,Mark,0
810,scatter,compare,Mark,1
811,bar,retrieve,Line,1
812,bar,retrieve,Line,0
813,bar,filter,Color,0
814,bar,filter,Color,1
815,bar,range,Opacity,1
816,bar,range,Opacity,1
817,bar,trend,Text,1
818,bar,trend,Text,1
819,bar,compare,Mark,0
820,bar,compare,Mark,1
821,line,retrieve,Bound,1
822,line,retrieve,Bound,0
823,line,filter,Color,1
824,line,filter,Color,1
825,line,range,Text,1
826,line,range,Text,0
827,line,trend,Text,1
828,line,trend,Text,0
829,line,compare,Text,1
830,line,compare,Text,0
831,scatter,retrieve,Shade,1
832,scatter,retrieve,Shade,1
833,scatter,filter,Line,1
834,scatter,filter,Line,0
835,scatter,range,Opacity,1
836,scatter,range,Opacity,1
837,scatter,trend,Mark,0
838,scatter,trend,Mark,1
839,scatter,compare,Color,1
840,scatter,compare,Color,1
841,bar,retrieve,Color,0
842,bar,retrieve,Color,0
843,bar,filter,Shade,1
844,bar,filter,Shade,1
845,bar,range,Color,1
846,bar,range,Color,0
847,bar,trend,Bound,1
848,bar,trend,Bound,1
849,bar,compare,Text,1
850,bar,compare,Text,1
851,line,retrieve,Opacity,1
852,line,retrieve,Opacity,1
853,line,filter,Color,1
854,line,filter,Color,1
855,line,range,Color,1
856,line,range,Color,1
857,line,trend,Shade,1
858,line,trend,Shade,1
859,line,compare,Mark,1
860,line,compare,Mark,0
861,scatter,retrieve,Line,1
862,scatter,retrieve,Line,1
863,scatter,filter,Shade,1
864,scatter,filter,Shade,1
865,scatter,range,Mark,1
866,scatter,range,Mark,1
867,scatter,trend,Line,1
868,scatter,trend,Line,1
869,scatter,compare,Text,1
870,scatter,compare,Text,1
871,bar,retrieve,Opacity,1
872,bar,retrieve,Opacity,1
873,bar,filter,Opacity,1
874,bar,filter,Opacity,0
875,bar,range,Opacity,0
876,bar,range,Opacity,1
877,bar,trend,Shade,0
878,bar,trend,Shade,1
879,bar,compare,Color,1
880,bar,compare,Color,1
881,line,retrieve,Bound,0
882,line,retrieve,Bound,0
883,line,filter,Bound,0
884,line,filter,Bound,1
885,line,range,Text,1
886,line,range,Text,1
887,line,trend,Bound,1
888,line,trend,Bound,0
889,line,compare,Text,0
890,line,compare,Text,1
891,scatter,retrieve,Line,0
892,scatter,retrieve,Line,1
893,scatter,filter,Opacity,1
894,scatter,filter,Opacity,1
895,scatter,range,Mark,0
896,scatter,range,Mark,0
897,scatter,trend,Shade,1
898,scatter,trend,Shade,0
899,scatter,compare,Text,1
900,scatter,compare,Text,1
901,bar,retrieve,Color,1
902,bar,retrieve,Color,1
903,bar,filter,Opacity,1
904,bar,filter,Opacity,1
905,bar,range,Text,1
906,bar,range,Text,1
907,bar,trend,Opacity,1
908,bar,trend,Opacity,1
909,bar,compare,Text,0
910,bar,compare,Text,1
911,line,retrieve,Opacity,1
912,line,retrieve,Opacity,1
913,line,filter,Line,1
914,line,filter,Line,0
915,line,range,Mark,1
916,line,range,Mark,0
917,line,trend,Shade,1
918,line,trend,Shade,0
919,line,compare,Color,1
920,line,compare,Color,0
921,scatter,retrieve,Shade,0
922,scatter,retrieve,Shade,1
923,scatter,filter,Bound,0
924,scatter,filter,Bound,1
925,scatter,range,Text,1
926,scatter,range,Text,1
927,scatter,trend,Color,0
928,scatter,trend,Color,1
929,scatter,compare,Opacity,1
930,scatter,compare,Opacity,1
931,bar,retrieve,Color,0
932,bar,retrieve,Color,1
933,bar,filter,Bound,1
934,bar,filter,Bound,1
935,bar,range,Mark,0
936,bar,range,Mark,0
937,bar,trend,Shade,0
938,bar,trend,Shade,1
939,bar,compare,Mark,1
940,bar,compare,Mark,1
941,line,retrieve,Line,1
942,line,retrieve,Line,0
943,line,filter,Color,0
944,line,filter,Color,1
945,line,range,Opacity,1
946,line,range,Opacity,1
947,line,trend,Color,0
948,line,trend,Color,1
949,line,compare,Opacity,0
950,line,compare,Opacity,1
951,scatter,retrieve,Line,0
952,scatter,retrieve,Line,0
953,scatter,filter,Opacity,0
954,scatter,filter,Opacity,0
955,scatter,range,Mark,1
956,scatter,range,Mark,0
957,scatter,trend,Opacity,1
958,scatter,trend,Opacity,0
959,scatter,compare,Color,0
960,scatter,compare,Color,1
961,bar,retrieve,Shade,0
962,bar,retrieve,Shade,0
963,bar,filter,Color,1
964,bar,filter,Color,1
965,bar,range,Text,0
966,bar,range,Text,0
967,bar,trend,Shade,0
968,bar,trend,Shade,1
969,bar,compare,Text,1
970,bar,compare,Text,1
971,line,retrieve,Bound,1
972,line,retrieve,Bound,1
973,line,filter,Shade,1
974,line,filter,Shade,1
975,line,range,Opacity,1
976,line,range,Opacity,1
977,line,trend,Bound,1
978,line,trend,Bound,1
979,line,compare,Color,1
980,line,compare,Color,0
981,scatter,retrieve,Color,1
982,scatter,retrieve,Color,0
983,scatter,filter,Opacity,1
984,scatter,filter,Opacity,0
985,scatter,range,Color,1
986,scatter,range,Color,1
987,scatter,trend,Shade,1
988,scatter,trend,Shade,1
989,scatter,compare,Mark,0
990,scatter,compare,Mark,1
991,bar,retrieve,Bound,0
992,bar,retrieve,Bound,0
993,bar,filter,Shade,0
994,bar,filter,Shade,1
995,bar,range,Opacity,1
996,bar,range,Opacity,1
997,bar,trend,Text,0
998,bar,trend,Text,1
999,bar,compare,Opacity,1
