"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","jspsych-survey-multi-choice-response-0","question_order"
"75012","","{""Q0"":""Kenya’s population has continued to increase over the years""}","survey-multi-choice","10","176329","0.0-10.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants","[0]"
"null","<img src=""chart227.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","11","186342","0.0-11.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"null","<img src=""RetrieveValue-Bar-Line.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","12","196347","0.0-12.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"null","<img src=""chart428.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","13","206360","0.0-13.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"17965","","{""Q0"":""The number of members in FC Bayern Munich increased consistently from 2005 to 2018, however the rate at which it increased slowed after 2015""}","survey-multi-choice","14","224331","0.0-14.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants","[0]"
"null","<img src=""chart242.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","15","234336","0.0-15.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"null","<img src=""Trend-Bar-Mark.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","16","244342","0.0-16.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"null","<img src=""chart478.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","17","254345","0.0-17.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"6520","","{""Q0"":""The employee number of Brunswick investment banking increased from 2014 to 2017""}","survey-multi-choice","18","260870","0.0-18.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants","[0]"
"null","<img src=""chart484.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","19","270877","0.0-19.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"null","<img src=""Compare-Bar-Opacity.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","20","280885","0.0-20.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"null","<img src=""chart540.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","21","290890","0.0-21.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"4911","","{""Q0"":""There has been a general increase in Internal consumption of travel and tourism in Belize from 2010 to 2019""}","survey-multi-choice","22","295807","0.0-22.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants","[0]"
"null","<img src=""chart601.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","23","305813","0.0-23.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"null","<img src=""chart634.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","24","315819","0.0-24.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"null","<img src=""Filter-Line-Color.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","25","325826","0.0-25.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"2553","","{""Q0"":""In 2020, an all time high of 2,500 million dollars was recorded as the New York Mets franchise value""}","survey-multi-choice","26","328384","0.0-26.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants","[0]"
"null","<img src=""chart5.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","27","338391","0.0-27.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"null","<img src=""Range-Line-Line.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","28","348396","0.0-28.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"null","<img src=""chart191.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","29","358403","0.0-29.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"7032","","{""Q0"":""While there was a steady increase overall in sales revenue over time, from around 2002 to 2006 there was a time of peaks and falls in revenue""}","survey-multi-choice","30","365443","0.0-30.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants","[0]"
"null","<img src=""chart244.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","31","375448","0.0-31.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"null","<img src=""chart76.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","32","385455","0.0-32.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"null","<img src=""RetrieveValue-Line-Line.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","33","395457","0.0-33.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"35386","","{""Q0"":""In 2007, Waste Management operating value is around 13000 million dollars""}","survey-multi-choice","34","430851","0.0-34.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants","[0]"
"null","<img src=""chart59.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","35","440865","0.0-35.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"null","<img src=""chart308.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","36","450871","0.0-36.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"null","<img src=""Trend-Line-Text.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","37","460876","0.0-37.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"12909","","{""Q0"":""The alchol consumption in UK has been droping since 2010""}","survey-multi-choice","38","473793","0.0-38.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants","[0]"
"null","<img src=""chart641.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","39","483800","0.0-39.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"null","<img src=""Compare-Line-Opacity.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","40","493803","0.0-40.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
"null","<img src=""chart400.png"" style=""max-width:80%; margin:10px;"">","null","html-keyboard-response","41","503807","0.0-41.0","14","1","2024-06-25 16:35:04","327d8d61a69a55b6203573ad19e3ab64","75.231.233.139","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36","WebKit","Chrome","126.0.0.0","Windows","10.0","https://zkohudqett.cognition.run/?jspsych-survey-multi-choice-response-0=15+of+the+16+cities+have+less+than+250+acres+of+parkland+per+thousand+inhabitants","es-419,es;q=0.9","15 of the 16 cities have less than 250 acres of parkland per thousand inhabitants",""
